sentence,sentiment,confidence
desain final bangunan istana negara di ibu kota negara ikn baru kalimantan timur memperlihatkan arsitektur gaya modern tanpa adanya pengaruh desain kolonial meskipun memperlihatkan kesan modern namun tetap menjujung kearifan lokal siapa yang gak sabar nungguin nih,Positive,"[0.00013446596858557314, 0.00031611547456122935, 0.9995494484901428]"
indonesia itu negara agraris maritim kearifan lokal indonesia adalah agraris maritim perkuat ekonomi bkn dgn kecanggihan infrastruktur mindahin ibukota tp perkuat amp perbanyak pelaku agraris maritim integrasi bkn dgn ikn baru integrasi adlh persempit kesenjangan ekonomi,Positive,"[0.00011448868463048711, 0.00024058802227955312, 0.9996448755264282]"
rt desain final bangunan istana negara di ibu kota negara ikn baru kalimantan timur memperlihatkan arsitektur gaya modern tanpa adanya pengaruh desain kolonial meskipun memperlihatkan kesan modern namun tetap menjujung kearifan lokal siapa yang gak sabar nungguin nih,Positive,"[0.00012999947648495436, 0.00029270866070874035, 0.9995773434638977]"
ini yg paling penting tdk boleh ada ormas radikal beraktivitas di ikn baru,Negative,"[0.0004913214361295104, 0.9986538887023926, 0.0008547777542844415]"
semoga kelestarian lingkungan hutan dan keanekaragaman hayati asli wilayah setempat serta kearifan lokal budaya masyarakat menjadi prioritas utama dalam rangka pembangunan ikn,Positive,"[0.00017513219790998846, 0.0009936754358932376, 0.9988312125205994]"
sementara sibuk layaknya calo proyek yg ingin paksa ibu kota baru sementara sdm indonesia yg bersih dr berbagai bentuk kkn tdk prioritas bahkan pembelaan o oknum negara kok yg beri tugas menyelidiki ada apa dengan,Negative,"[3.4400705771986395e-05, 0.997149646282196, 0.0028159967623651028]"
gak akan berani teriak sontoloyo kalau ikn pindah ke kalimantan berani teriak radikal kami gorok dgn mandau terbang,Negative,"[8.230823732446879e-05, 0.9992796778678894, 0.000638021097984165]"
lokasi ikn baru harus steril dari koruptor dan orang orang ikhwanul muslimin serta alumni hti,Neutral,"[0.9995841383934021, 0.00014527489838656038, 0.0002706150116864592]"
grombolan radikal itu sedang berjuang agar dibatalkan pemindahan ibu kota karena kalau di kalimantan mereka ga bisa berbuat apa dan gua yakinkalau ibu kota negara dipindahkan ada oknum politikus yg ga bisa memainkan lagi catur politik identitas dalam pemilu pilkada,Negative,"[6.812400533817708e-05, 0.9996083378791809, 0.00032353223650716245]"
pks sangat kwatir banget dgn pemindahan ibu kota sementara rakyat sangat mendukung apakah ibu kota baru tdk bisa di kuasai seperti dki byk para kaum kadrun munafik taliban,Positive,"[5.7276069128420204e-05, 0.0003278920485172421, 0.9996148347854614]"
yg benar itu untuk menghormati kearifan lokal masyarakat kaltim sy sebgai yg bukan orang kaltim lbh setuju nama ikn baru diberi nama dki penajam daerah khusus ibukota penajam tdk jd polemik,Positive,"[0.00010961513180518523, 0.00045963723096065223, 0.9994307160377502]"
